timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1416843114699,620,HTTP Request,200,OK,Thread Group 1-1,text,true,19104,2,2,49
1416843115698,277,HTTP Request,200,OK,Thread Group 1-2,text,true,19066,3,3,36
1416843116321,235,HTTP Request,200,OK,Thread Group 1-1,text,true,19113,3,3,26
1416843116699,277,HTTP Request,200,OK,Thread Group 1-3,text,true,19086,4,4,35
1416843116977,239,HTTP Request,200,OK,Thread Group 1-2,text,true,19081,4,4,19
1416843117557,213,HTTP Request,200,OK,Thread Group 1-1,text,true,19087,5,5,25
1416843117700,293,HTTP Request,200,OK,Thread Group 1-4,text,true,19130,5,5,46
1416843117983,253,HTTP Request,200,OK,Thread Group 1-3,text,true,19070,5,5,18
1416843118218,219,HTTP Request,200,OK,Thread Group 1-2,text,true,19089,5,5,18
1416843118702,282,HTTP Request,200,OK,Thread Group 1-5,text,true,19113,6,6,38
1416843118771,219,HTTP Request,200,OK,Thread Group 1-1,text,true,19127,6,6,26
1416843118995,229,HTTP Request,200,OK,Thread Group 1-4,text,true,19129,6,6,23
1416843119238,222,HTTP Request,200,OK,Thread Group 1-3,text,true,19079,6,6,20
1416843119438,218,HTTP Request,200,OK,Thread Group 1-2,text,true,19042,6,6,22
1416843119701,272,HTTP Request,200,OK,Thread Group 1-6,text,true,19095,7,7,46
1416843119991,215,HTTP Request,200,OK,Thread Group 1-1,text,true,19079,7,7,22
1416843119984,238,HTTP Request,200,OK,Thread Group 1-5,text,true,19047,7,7,22
1416843120224,218,HTTP Request,200,OK,Thread Group 1-4,text,true,19111,7,7,24
1416843120461,215,HTTP Request,200,OK,Thread Group 1-3,text,true,19110,7,7,18
1416843120656,215,HTTP Request,200,OK,Thread Group 1-2,text,true,19056,8,8,20
1416843120701,277,HTTP Request,200,OK,Thread Group 1-7,text,true,19069,8,8,46
1416843120974,239,HTTP Request,200,OK,Thread Group 1-6,text,true,19069,8,8,25
1416843121223,220,HTTP Request,200,OK,Thread Group 1-5,text,true,19111,8,8,21
1416843121208,329,HTTP Request,200,OK,Thread Group 1-1,text,true,19090,8,8,23
1416843121444,220,HTTP Request,200,OK,Thread Group 1-4,text,true,19073,8,8,25
